epoch,train_loss,train_acc,val_loss,val_acc
0,0.716825105501025,0.5315133426966292,0.6816957281983417,0.5638209541062802
1,0.6966094167044993,0.5392283083645443,0.6828109051870264,0.563443538647343
2,0.6897423173604387,0.5485135767790262,0.6955353021621704,0.4657306763285024
3,0.6855320508560437,0.5532634987515606,0.6813785511514415,0.5678970410628019
4,0.6854325593187568,0.5553214731585518,0.6868924265322478,0.5569897342995169
5,0.6843797671660948,0.555545802122347,0.6836489076199739,0.5675196256038647
6,0.6845066112078978,0.5545509519350812,0.6807424089182978,0.5648399758454107
7,0.6835366078976834,0.5572819132334582,0.6952679079511891,0.4657306763285024
8,0.684904207674305,0.5562382958801498,0.6817042438880258,0.5648399758454107
9,0.6832396347870987,0.5590862983770287,0.6809607459151227,0.566538345410628
10,0.6842908524395375,0.5575550093632959,0.6894480793372445,0.5026796497584541
11,0.6830115103989505,0.5587254213483146,0.6839046037715414,0.5648022342995169
12,0.6848666661241082,0.5542876092384519,0.6836967131365901,0.5631038647342995
13,0.682976288741894,0.5589595037453183,0.6799164284830508,0.5651796497584541
14,0.683600042643172,0.5577695848938826,0.6810302552969559,0.5648399758454107
15,0.683252922604593,0.5574672284644195,0.6824282796486564,0.5678970410628019
16,0.6824554774198639,0.558852215980025,0.6802914453589398,0.5661986714975845
17,0.6826896942063664,0.5575062421972534,0.682857650777568,0.5641606280193237
18,0.6836867513281576,0.5565991729088638,0.682102796824082,0.5624245169082126
19,0.6833595579929566,0.5560139669163546,0.6805010360220204,0.5658589975845411
20,0.6835249568639177,0.560549313358302,0.6828640699386597,0.575030193236715
21,0.6833669603540656,0.5566869538077402,0.6919028085211049,0.49554649758454106
22,0.6825877963826897,0.5541803214731585,0.6845228879348092,0.5586881038647343
23,0.683382560028119,0.5584913389513109,0.6805985751359359,0.567217693236715
24,0.6839565741881896,0.5557018570536829,0.6796175034149833,0.566538345410628
25,0.6830447979187697,0.5569698033707865,0.6808279260345127,0.5641606280193237
26,0.6834174816528064,0.5582279962546817,0.6798372165016506,0.5651796497584541
27,0.684745198555207,0.5531171972534332,0.6787857620612435,0.5645003019323671
28,0.6842610782451843,0.5550678838951311,0.6802074494569198,0.5655193236714976
29,0.6823850153537279,0.5566186797752809,0.6813806062159331,0.5702747584541062
30,0.6836943030357361,0.5555750624219725,0.680071252843608,0.5658589975845411
